date,time,user,source AP,destination AP
2019-09-05,00:17:23.778,4,2,6
2019-09-05,00:17:47.969,7,6,4
2019-09-05,00:18:31.439,4,6,5
2019-09-05,00:19:00.599,4,5,2
2019-09-05,00:43:46.410,0,1,0
2019-09-05,00:48:25.735,7,6,4
2019-09-05,01:21:19.340,0,1,0
2019-09-05,01:49:59.015,7,6,4
2019-09-05,01:53:34.812,0,1,0
2019-09-05,02:17:08.835,161,4,6
2019-09-05,02:17:25.553,7,4,6
2019-09-05,02:17:50.572,7,6,4
2019-09-05,02:39:32.885,4,2,8
2019-09-05,02:39:43.650,4,8,9
2019-09-05,02:39:52.747,5,7,10
2019-09-05,02:40:06.128,9,7,1
2019-09-05,02:48:28.564,7,6,4
2019-09-05,03:05:23.099,0,1,0
2019-09-05,03:49:44.305,7,6,4
2019-09-05,04:07:55.441,0,0,1
2019-09-05,06:31:59.139,7,6,4
2019-09-05,07:11:23.875,42,2,8
2019-09-05,07:13:42.832,42,8,2
2019-09-05,07:19:56.206,42,2,8
2019-09-05,07:24:32.133,42,8,2
2019-09-05,07:27:18.696,42,2,8
2019-09-05,07:32:50.810,7,6,4
2019-09-05,07:41:55.666,42,8,0
2019-09-05,07:43:28.847,42,0,2
2019-09-05,09:01:12.695,7,6,4
2019-09-05,09:01:21.783,17,7,4
2019-09-05,09:02:55.689,47,11,6
2019-09-05,09:04:16.386,146,2,0
2019-09-05,09:04:28.715,17,7,0
2019-09-05,09:07:12.200,53,8,1
2019-09-05,09:12:30.197,53,1,9
2019-09-05,09:12:37.955,53,9,0
2019-09-05,09:12:53.146,53,0,7
2019-09-05,09:14:09.687,102,10,4
2019-09-05,09:14:45.956,53,11,0
2019-09-05,09:15:31.169,53,0,7
2019-09-05,09:15:42.387,53,7,3
2019-09-05,09:19:47.128,147,6,4
2019-09-05,09:19:58.109,17,0,7
2019-09-05,09:20:18.439,17,7,4
2019-09-05,09:31:50.966,7,6,4
2019-09-05,09:34:59.160,64,0,7
2019-09-05,09:35:09.071,64,7,9
2019-09-05,09:37:58.725,64,9,6
2019-09-05,09:49:47.288,17,4,7
2019-09-05,09:50:02.364,17,7,0
2019-09-05,09:51:36.662,64,6,2
2019-09-05,09:52:03.379,1,4,9
2019-09-05,09:52:13.348,1,9,7
2019-09-05,09:52:26.357,1,7,0
2019-09-05,09:52:31.616,51,7,0
2019-09-05,09:52:37.050,51,0,3
2019-09-05,09:52:48.739,64,10,4
2019-09-05,09:52:53.904,64,4,10
2019-09-05,09:53:10.120,38,7,5
2019-09-05,09:53:22.760,1,9,8
2019-09-05,09:53:39.779,51,10,8
2019-09-05,09:53:53.896,64,10,2
2019-09-05,09:54:17.359,38,5,2
2019-09-05,09:55:51.625,17,0,7
2019-09-05,09:56:12.646,17,7,2
2019-09-05,09:56:27.912,17,2,4
2019-09-05,09:57:08.972,1,8,2
2019-09-05,10:01:07.173,154,6,10
2019-09-05,10:02:26.035,101,4,10
2019-09-05,10:02:34.255,101,10,11
2019-09-05,10:03:07.674,38,2,8
2019-09-05,10:14:36.492,38,8,2
2019-09-05,10:19:44.569,63,0,3
2019-09-05,10:20:17.618,38,2,7
2019-09-05,10:20:30.580,38,7,5
2019-09-05,10:20:36.077,38,5,0
2019-09-05,10:20:50.809,63,3,0
2019-09-05,10:25:06.993,50,9,4
2019-09-05,10:26:56.113,14,0,7
2019-09-05,10:27:16.447,14,7,4
2019-09-05,10:33:07.724,7,6,4
2019-09-05,10:38:57.585,43,0,7
2019-09-05,10:39:03.256,43,7,0
2019-09-05,10:46:17.766,35,6,4
2019-09-05,10:49:50.017,63,0,1
2019-09-05,11:03:46.061,7,6,4
2019-09-05,11:06:32.839,51,8,2
2019-09-05,11:07:52.943,64,2,10
2019-09-05,11:08:00.077,51,7,4
2019-09-05,11:08:05.847,51,2,10
2019-09-05,11:08:15.917,63,1,10
2019-09-05,11:08:34.043,64,10,1
2019-09-05,11:08:40.630,63,10,5
2019-09-05,11:09:04.696,51,10,6
2019-09-05,11:09:11.081,64,1,7
2019-09-05,11:09:19.255,51,7,10
2019-09-05,11:09:31.125,64,9,4
2019-09-05,11:09:41.693,1,10,4
2019-09-05,11:11:21.349,51,4,0
2019-09-05,11:11:31.377,103,2,0
2019-09-05,11:13:31.023,2,8,4
2019-09-05,11:16:31.604,1,4,0
2019-09-05,11:16:37.620,51,0,9
2019-09-05,11:17:13.793,51,9,6
2019-09-05,11:19:05.181,79,4,0
2019-09-05,11:19:11.182,79,0,9
2019-09-05,11:19:18.896,79,5,1
2019-09-05,11:26:24.460,53,3,0
2019-09-05,11:30:23.391,53,0,7
2019-09-05,11:34:23.575,7,6,4
2019-09-05,11:39:07.901,38,2,8
2019-09-05,11:39:55.032,38,10,11
2019-09-05,11:40:09.417,64,5,6
2019-09-05,11:41:12.572,15,8,3
2019-09-05,11:41:25.341,15,3,1
2019-09-05,11:41:31.543,15,1,3
2019-09-05,11:41:40.142,15,3,0
2019-09-05,11:46:04.370,38,0,10
2019-09-05,11:46:12.632,38,10,3
2019-09-05,11:46:22.600,38,3,5
2019-09-05,11:46:27.706,38,5,8
2019-09-05,11:46:33.835,38,8,5
2019-09-05,11:47:04.099,38,5,2
2019-09-05,11:47:10.412,51,4,9
2019-09-05,11:48:16.263,63,3,0
2019-09-05,11:49:30.646,64,6,9
2019-09-05,11:49:49.799,64,9,7
2019-09-05,11:49:58.745,64,7,0
2019-09-05,11:51:19.344,64,0,3
2019-09-05,11:51:32.319,64,7,10
2019-09-05,11:51:51.208,64,10,6
2019-09-05,11:54:04.033,63,0,9
2019-09-05,11:54:10.031,63,9,7
2019-09-05,11:54:42.877,50,4,7
2019-09-05,11:54:49.909,50,7,0
2019-09-05,11:55:00.453,17,4,9
2019-09-05,11:55:13.970,17,7,0
2019-09-05,11:58:01.584,38,2,8
2019-09-05,12:02:11.939,15,0,4
2019-09-05,12:02:20.195,15,8,1
