date,time,user,source AP,destination AP
2019-09-01,00:05:21.050,7,5,4
2019-09-01,02:55:42.534,6,8,2
2019-09-01,03:15:18.991,0,0,1
2019-09-01,03:25:07.488,6,2,8
2019-09-01,03:27:25.990,0,1,0
2019-09-01,03:37:45.530,0,0,1
2019-09-01,03:39:12.956,8,4,5
2019-09-01,03:44:42.135,0,1,0
2019-09-01,03:54:41.384,0,0,1
2019-09-01,03:57:11.832,0,1,0
2019-09-01,04:01:55.584,0,0,1
2019-09-01,04:06:24.112,1,4,7
2019-09-01,04:06:45.284,0,1,0
2019-09-01,04:11:41.494,0,0,1
2019-09-01,04:19:04.236,0,1,0
2019-09-01,04:22:18.635,1,0,7
2019-09-01,04:22:29.224,1,7,10
2019-09-01,04:24:06.452,0,0,1
2019-09-01,04:25:08.486,1,4,6
2019-09-01,04:25:47.137,0,1,0
2019-09-01,04:31:01.682,1,6,4
2019-09-01,04:41:11.282,0,1,0
2019-09-01,04:43:56.156,0,0,1
2019-09-01,04:50:49.465,0,1,0
2019-09-01,04:53:22.400,6,8,2
2019-09-01,05:05:37.126,0,1,0
2019-09-01,05:10:43.686,0,0,1
2019-09-01,05:17:54.334,0,1,0
2019-09-01,05:22:47.431,6,2,8
2019-09-01,05:22:57.611,0,0,1
2019-09-01,05:34:54.836,0,1,0
2019-09-01,05:37:27.801,0,0,1
2019-09-01,05:54:33.247,0,1,0
2019-09-01,06:04:22.214,0,0,1
2019-09-01,06:06:57.068,0,1,0
2019-09-01,06:14:09.024,0,0,1
2019-09-01,06:19:11.452,0,1,0
2019-09-01,06:21:39.944,0,0,1
2019-09-01,06:26:25.628,0,1,0
2019-09-01,06:29:15.429,0,0,1
2019-09-01,06:32:59.330,1,6,4
2019-09-01,06:36:38.125,0,1,0
2019-09-01,06:39:17.822,0,0,1
2019-09-01,07:20:10.409,0,1,0
2019-09-01,07:25:20.271,0,0,1
2019-09-01,07:35:05.966,0,1,0
2019-09-01,07:36:47.344,7,6,4
2019-09-01,07:39:57.927,0,0,1
2019-09-01,07:54:38.299,0,1,0
2019-09-01,07:59:43.646,0,0,1
2019-09-01,08:16:25.440,0,1,0
2019-09-01,08:21:28.351,0,3,1
2019-09-01,08:24:10.328,0,1,0
2019-09-01,08:27:57.563,0,0,1
2019-09-01,08:29:30.945,0,1,0
2019-09-01,08:36:20.347,0,0,1
2019-09-01,08:48:44.204,6,8,2
2019-09-01,08:53:34.597,0,1,0
2019-09-01,09:18:09.227,6,2,8
2019-09-01,09:20:33.165,0,0,1
2019-09-01,09:23:40.135,1,6,7
2019-09-01,09:23:54.934,1,7,0
2019-09-01,09:27:34.735,0,1,0
2019-09-01,09:31:24.227,1,0,10
2019-09-01,09:31:57.545,1,10,4
2019-09-01,09:32:23.515,0,0,1
2019-09-01,09:37:27.093,0,1,0
2019-09-01,09:47:02.144,0,0,1
2019-09-01,09:47:34.136,6,8,2
2019-09-01,10:16:39.401,0,1,0
2019-09-01,10:16:59.158,6,2,8
2019-09-01,10:19:22.609,0,0,1
2019-09-01,10:36:16.147,0,1,0
2019-09-01,10:46:24.134,6,8,6
2019-09-01,10:46:36.637,6,6,8
2019-09-01,10:50:34.836,0,0,1
2019-09-01,11:12:42.575,1,4,5
2019-09-01,11:12:50.271,1,5,10
2019-09-01,11:12:56.346,1,10,7
2019-09-01,11:13:24.130,1,7,10
2019-09-01,11:18:17.542,1,6,4
2019-09-01,11:39:54.159,0,1,0
2019-09-01,11:43:26.814,6,8,2
2019-09-01,11:44:29.937,0,0,1
2019-09-01,11:47:20.275,0,1,0
2019-09-01,11:49:32.769,0,0,1
2019-09-01,12:26:15.783,0,1,0
2019-09-01,12:29:03.948,0,0,3
2019-09-01,12:44:17.019,0,3,1
2019-09-01,12:45:49.377,0,1,0
2019-09-01,12:53:41.347,1,4,5
2019-09-01,12:53:54.811,1,5,7
2019-09-01,12:55:30.263,1,0,10
2019-09-01,13:17:05.596,1,4,6
2019-09-01,13:18:26.137,1,6,4
2019-09-01,13:29:53.897,0,1,0
2019-09-01,13:34:15.148,0,0,1
2019-09-01,13:40:06.829,0,1,0
2019-09-01,13:44:46.726,0,0,1
2019-09-01,13:54:19.837,0,1,0
2019-09-01,13:57:06.627,0,0,1
2019-09-01,14:23:58.361,0,1,0
2019-09-01,14:28:35.761,0,0,1
2019-09-01,14:43:42.155,0,1,0
2019-09-01,14:49:08.020,0,0,1
2019-09-01,14:53:28.470,0,1,0
2019-09-01,14:59:21.147,1,4,10
2019-09-01,14:59:27.951,1,10,7
2019-09-01,14:59:40.511,1,7,0
2019-09-01,15:06:23.567,0,0,1
2019-09-01,15:08:00.121,0,1,0
2019-09-01,15:10:55.971,0,0,1
2019-09-01,15:29:56.015,0,1,0
2019-09-01,15:32:35.328,0,0,1
2019-09-01,15:44:24.821,0,1,0
2019-09-01,15:51:01.618,0,0,1
2019-09-01,15:52:38.065,0,1,0
2019-09-01,16:01:35.194,0,0,1
2019-09-01,16:11:41.812,0,1,0
2019-09-01,16:18:39.351,0,0,1
2019-09-01,16:21:36.821,0,1,0
2019-09-01,16:26:16.668,1,4,10
2019-09-01,16:26:26.489,1,10,7
2019-09-01,16:26:49.504,1,7,0
2019-09-01,16:28:43.475,0,0,1
2019-09-01,16:31:23.255,0,1,0
2019-09-01,16:33:40.729,1,9,6
2019-09-01,16:34:13.404,0,0,1
2019-09-01,16:39:36.401,1,6,4
2019-09-01,16:53:31.792,0,1,0
2019-09-01,17:08:00.812,6,2,8
2019-09-01,17:10:21.579,0,1,0
2019-09-01,17:22:29.798,0,0,1
2019-09-01,17:34:38.592,0,1,0
2019-09-01,17:37:25.771,6,8,2
2019-09-01,17:37:58.212,0,0,1
2019-09-01,17:49:28.388,0,1,0
2019-09-01,18:00:14.419,0,0,1
2019-09-01,18:26:20.066,0,1,0
2019-09-01,18:31:24.929,0,0,8
2019-09-01,18:32:36.498,1,4,7
2019-09-01,18:33:26.384,1,7,8
2019-09-01,18:34:44.423,0,8,1
2019-09-01,18:36:19.904,0,1,0
2019-09-01,18:43:18.612,0,0,1
2019-09-01,18:45:44.083,1,6,4
2019-09-01,19:15:04.524,0,1,0
2019-09-01,19:18:21.726,0,0,1
2019-09-01,19:19:42.273,1,4,6
2019-09-01,19:19:58.315,1,6,9
2019-09-01,19:20:14.681,1,9,7
2019-09-01,19:20:22.642,1,7,1
2019-09-01,19:20:40.538,1,1,10
2019-09-01,19:57:13.542,0,1,0
2019-09-01,20:01:35.528,0,0,1
2019-09-01,20:04:10.401,0,1,0
2019-09-01,20:06:45.824,0,0,1
2019-09-01,20:11:44.014,0,1,0
2019-09-01,20:16:22.929,0,0,1
2019-09-01,20:19:03.090,0,1,0
2019-09-01,20:26:07.281,0,0,1
2019-09-01,20:28:47.106,0,1,0
2019-09-01,20:36:02.511,0,0,1
2019-09-01,20:39:38.210,5,0,5
2019-09-01,20:44:27.593,4,5,2
2019-09-01,20:48:53.300,0,1,0
2019-09-01,20:52:48.484,4,2,5
2019-09-01,20:53:31.879,4,5,2
2019-09-01,20:54:43.347,4,2,5
2019-09-01,20:58:15.398,0,1,0
2019-09-01,20:58:55.961,4,5,2
2019-09-01,21:02:48.392,0,0,1
2019-09-01,21:05:18.210,0,1,0
2019-09-01,21:10:22.930,5,5,2
2019-09-01,21:22:30.606,0,1,0
2019-09-01,21:27:23.351,0,0,1
2019-09-01,21:32:26.335,0,1,0
2019-09-01,21:37:55.323,0,0,1
2019-09-01,21:47:53.973,4,2,5
2019-09-01,21:50:10.578,0,1,0
2019-09-01,21:51:40.865,4,5,2
2019-09-01,21:57:06.476,0,0,1
2019-09-01,22:11:40.058,0,1,0
2019-09-01,22:18:37.936,0,0,1
2019-09-01,22:20:00.220,1,4,6
2019-09-01,22:21:03.457,1,6,2
2019-09-01,22:21:13.168,1,9,7
2019-09-01,22:21:29.884,1,7,2
2019-09-01,22:22:15.600,0,0,1
2019-09-01,22:25:49.830,1,7,9
2019-09-01,22:26:28.514,1,5,4
2019-09-01,22:31:21.526,0,1,0
2019-09-01,22:38:09.399,0,0,1
2019-09-01,22:49:07.576,4,2,5
2019-09-01,22:49:14.347,4,5,3
2019-09-01,22:49:30.284,4,3,10
2019-09-01,22:50:54.853,4,0,2
2019-09-01,22:53:11.090,0,1,0
2019-09-01,23:17:25.729,0,0,1
2019-09-01,23:24:03.069,3,4,7
2019-09-01,23:24:08.153,2,9,7
2019-09-01,23:24:32.313,1,10,0
2019-09-01,23:27:44.962,0,1,0
2019-09-01,23:35:03.341,0,0,3
2019-09-01,23:51:58.583,0,3,0
2019-09-01,23:57:03.239,0,0,1
2019-09-01,00:05:21.050,7,5,4
2019-09-01,02:55:42.534,6,8,2
2019-09-01,03:15:18.991,0,0,1
2019-09-01,03:25:07.488,6,2,8
2019-09-01,03:27:25.990,0,1,0
2019-09-01,03:37:45.530,0,0,1
2019-09-01,03:39:12.956,8,4,5
2019-09-01,03:44:42.135,0,1,0
2019-09-01,03:54:41.384,0,0,1
2019-09-01,03:57:11.832,0,1,0
